ICCMA - Ei 2017	2017 The 5th International conference on Control, Mechatronics and Automation (ICCMA 2017)--Ei Compendex and Scopus	University of Alberta, Edmonton, Canada
ICCMIT 2017	International Conference on Communication, Management and Information Technology (ICCMIT 2017)	Poland
ICCMS - Ei & Scopus 2018	ACM--The 10th International Conference on Computer Modeling and Simulation (ICCMS 2018)	Sydney, Australia
ICCRE--IEEE, Ei 2018	2018 IEEE 3rd International Conference on Control and Robotics Engineering (ICCRE 2018)--IEEE Xplore and Ei Compendex	Nagoya, Japan
ICCRI--EI, Scopus 2018	2018 International Conference on Control, Robotics and Informatics (ICCRI 2018)--EI Compendex, Scopus	Kuala Lumpur, Malaysia
ICCSAMA 2017 - CFP 2017	ICCSAMA 2017 - Call for Papers	Humboldt University of Berlin
ICCSE 2017	The 2017 International Conference on Crowd Science and Engineering	Tsinghua University, Beijing, China
ICCSP - Ei & Scopus 2018	2018 the 2nd International Conference on Cryptography, Security and Privacy (ICCSP 2018)--Ei Compendex and Scopus	Guiyang, China
ICCSSE 2017	2017 3rd International Conference on Control Science and Systems Engineering (ICCSSE 2017)--IEEE, Ei Compendex	Beijing, China
ICCST 2017	The 51st International Carnahan Conference on Security Technology	Madrid, Spain
ICCTD--EI, Scopus 2018	2018 9th International Conference on Computer Technologies and Development (ICCTD 2018)--EI Compendex, Scopus	Istanbul, Turkey
ICCTIM 2017	The 3rd International Conference on Computing Technology and Information Management	Metropolitan College, Greece
ICCTS - Ei 2017	2017 6th International Conference on Computer Technology and Science (ICCTS 2017)-EI Compendex, Scopus	Singapore
ICCV 2017 - CoViStories 2017	ICCV 2017 - CoViStories: Workshop on Collaborative Visual Stories	Venice, Italy
ICDE 2013	29TH INTERNATIONAL CONFERENCE ON DATA ENGINEERING	Brisbane, Australia
ICDE 2014	IEEE International Conference on Data Engineering	Chicago, IL, USA
ICDE 2016	International Conference on Data Engineering	Helsinki, Finland
ICDE 2017	IEEE INTERNATIONAL CONFERENCE ON DATA ENGINEERING 2017	San Diego
ICDEPI 2017	2017 International Conference on Design Engineering and Product Innovation (ICDEPI 2017)	Nanyang Technological University
ICDIM 2013	Eighth International Conference on Digital Information Management	Islamabad
ICDIM 2016	Eleventh International Conference on Digital Information Management	Porto, Portugal
ICDIM 2017	Twelfth International Conference on Digital Information Management	Fukuoka, Japan
ICDIP-SPIE 2018	ICDIP 2018 The 10th International Conference on Digital Image Processing--Ei Compendex, Scopus and CPCI	Shanghai, China
ICDIS 2018	2018 First International Conference on Data Intelligence and Security	South Padre Island, Texas, USA
ICDM 2014	IEEE International Conference on Data Mining	Shenzhen, China
ICDM 2015	ICDM 2015 Student Travel Grants	Atlantic City, NJ, USA
ICDM 2016	The IEEE International Conference on Data Mining	Barcelona, Spain
ICDM 2017	IEEE International Conference on Data Mining 2017	New Orleans, LA, USA
ICDM 2018	18th Industrial Conference on Data Mining ICDM 2018	New York
ICDM ARIAL 2017	1st Workshop on Data mining for Aging, Rehabilitation and Independent Assisted Living (ARIAL) in conjunction with International Conference on Data Mining (ICDM'2017)	New Orleans, LA, USA
ICDME - IOP 2017	2nd International Conference on Design and Manufacturing Engineering (ICDME 2017)--Ei Compendex	Guangzhou, China
ICDM - MoDAT 2017	The 5th International Workshop on the Market of Data - Creating tools, data, and sensors from the Social Intelligence	New Orleans, LA, USA
ICDPA--ACM, Scopus, Ei Compendex 2018	ACM--2018 International Conference on Data Processing and Applications (ICDPA 2018)--Scopus, Ei Compendex	Guangzhou, China
ICDPR 2018	2018 2ndInternational Conference on Data Processing and Robotics (ICDPR 2018)	Boracay, Philipines
ICDT 2012	15th International Conference on Database Theory	Berlin, Germany
ICDT 2013	16th International Conference on Database Theory	Genoa, Italy
ICE-B 2012	International Conference on e-Business	Rome, Italy
ICECIT 2013	International Conference on Emerging Computation & Information Technologies	Tumkur
ICFCC--Ei & Scopus 2018	2018 The 10th International Conference on Future Computer and Communication (ICFCC 2018)--Ei & Scopus	Singapore
ICFCC - Ei 2017	2017 9th International Conference on Future Computer and Communication (ICFCC 2017) - Ei & Scopus	Nagoya, Japan
ICFIP--EI, Scopus 2018	2018 2nd International Conference on Frontiers of Image Processing (ICFIP 2018)--EI Compendex, Scopus, and ISI CPCS	Barcelona, Spain
ICGDA--Ei, ISI and Scopus 2018	ACM--2018 the International Conference on Geoinformatics and Data Analysis (ICGDA 2018)--Ei, ISI and Scopus	Prague, Czech Republic
ICGHIT 2018	6Th ICGHIT - Extended Papers Published in LNEE/SCI/Ei Compendex/Scopus Journals	Chiang Mai, Thailand
ICIA 2013	The Second International Conference on Informatics and Applications	Lodz, Poland
ICIAS--Ei 2018	2018 IEEE International Conference on Intelligent Autonomous Systems (ICIAS 2018)--Ei Compendex and Scopus	Singapore
ICIBB - Ei 2017	2017 International Conference on Innovations in Biometrics and Biostatistics (ICIBB 2017)--CPCI, Ei Compendex and Scopus	Bangkok, Thailand
ICICA 2018	The 7th International Conference on Intelligent Computing and Applications (ICICA 2018)	Sydney, Australia
ICICC - Ei 2018	2018 International Conference on Intelligent Control and Computing (ICICC 2018)--Ei Compendex & Scopus	Manila, Philippines
iCICS 2013	The 4th International Conference on Information and Communication Systems	Irbid, Jordan
iCICS 2014	The 5th IEEE International Conference on Information and Communication Systems	Irbid, Jordan
ICICS 2015	The 6th IEEE International Conference on Information and Communication Systems	Amman, Jordan
ICICT 2017	CFP - The IEEE International Conference ICICT at India, Due: 4 Aug 2017	India
ICIGP-Ei 2018	2018 International Conference on Image and Graphics Processing (ICIGP 2018)--Ei Compendex and Scopus	Hong Kong
ICIIC--IEEE Xplore, Ei 2018	2018 International Conference on Integrated Intelligent Computing (ICIIC 2018)--IEEE Xplore, Ei Compendex and Scopus	Singapore
ICIII 2017	ICIII 2017 - 2017 5th International Conference on Industrial and Intelligent Information	Krakow, Poland
ICIIP 2017	6th International Conference on Intelligent Information Processing(ICIIP 2017)	London, UK
ICIIP 2018	【ACM-ICPS】2018 3rd International Conference on Intelligent Information Processing	Guilin, China
ICIIT - Ei & Scopus 2018	2018 International Conference on Intelligent Information Technology (ICIIT 2018)--Ei Compendex, Scopus and ISI	Hanoi, Vietnam
ICIKM--EI, Scopus 2018	2018 7th International Conference on Innovation, Knowledge, and Management (ICIKM 2018)--EI Compendex, Scopus	Bali, Indonesia
ICINCO 2017	International Conference on Informatics in Control, Automation and Robotics	Madrid, Spain
IC-ININFO 2016	International Conference on Integrated Information	Athens, Greece
ICINT--EI, Scopus 2018	2018 3rd International Conference on Information and Network Technologies (ICINT 2018)--EI Compendex, Scopus	Osaka, Japan
ICIS 2017	The Second International Conference on Intelligence Science	Shanghai, China
ICISDM--IEEE Xplore, Ei and Scopus 2018	2018 2nd International Conference on Information System and Data Mining (ICISDM 2018)--IEEE Xplore, Ei and Scopus	Florida, USA
ICISIP 2017	The 5th IIAE International Conference on Intelligent Systems and Image Processing 2017	Hawaii, USA
ICISIP 2018	The 6th IIAE International Conference on Intelligent Systems and Image Processing 2018	Matsue, Japan
ICISS--Ei Compendex and Scopus 2018	2018 International Conference on Information Science and System (ICISS 2018)--Ei Compendex and Scopus	Jeju Island, South Korea
ICIST 2017	7th International Conference on Information Systems and Technologies	Dubai, UAE
ICITDA 2017	International Conference on Information Technology and Digital Applications	Yogyakarta, Indonesia
ICITE 2017	2017 2nd International Conference on Intelligent Transportation Engineering (ICITE 2017)-IEEE Xplore and Ei Compendex	Singapore
ICKD 2017	2017 6th International Conference on Knowledge Discovery (ICKD 2017)--Ei Compendex and Scopus	Penang, Malaysia
ICKEA--IEEE, Ei Compendex & Scopus 2018	2018 3rd International Conference on Knowledge Engineering and Applications (ICKEA 2018)--IEEE, Ei Compendex & Scopus	Moscow, Russia
ICKSE--EI Compendex, Scopus 2018	2018 4th International Conference on Knowledge and Software Engineering (ICKSE 2018)--EI Compendex, Scopus	Istanbul, Turkey
ICLR 2017	5th International Conference on Learning Representations	Palais des Congrès Neptune, Toulon, Fr
ICLR 2018	6th International Conference on Learning Representations	Vancouver, Canada
ICMAE 2017	2017 The 8th International Conference on Mechanical and Aerospace Engineering (ICMAE 2017)—IEEE and Ei Compendex	Prague, Czech Republic
ICMAI--EI and Scopus 2018	2018 International Conference on Mathematics and Artificial Intelligence (ICMAI 2018)--EI Compendex and Scopus	Chengdu, China
ICMAI--EI Compendex and Scopus 2018	2018 International Conference on Mathematics and Artificial Intelligence (ICMAI 2018)--EI Compendex and Scopus	Chengdu, China
ICMAM - Ei 2017	2017 4th International Conference on Mechatronics, Automation and Manufacturing (ICMAM 2017)--EI Compendex, Scopus	Phuket, Thailand
ICMCR - Ei & Scopus 2018	2018 International Conference on Mechatronics, Control and Robotics (ICMCR 2018)--EI Compendex, Scopus	Ho Chi Minh, Vietnam
ICMCT 2017	2017 4th International Conference on Multimedia and Communication Technologies and Science (ICMCT 2017)-EI Compendex, Scopus	Singapore
ICME 2018	IEEE International Conference on Multimedia and Expo	San Diego, California, USA
ICMEAE--Ei and Scopus 2018	2018 5th International Conference on Mechatronics, Electronics and Automation Engineering (ICMEAE 2018)--Ei Compendex and Scopus	Nagoya, Japan
ICMERR 2017	2017 2nd International Conference on Mechanical Engineering and Robotics Research (ICMERR 2017)-EI Compendex, Scopus	Paris, France
ICML 2017	34th International Conference on Machine Learning	Sydney, Australia
ICMLA 2016	IEEE International Conference on Machine Learning and Applications (IEEE ICMLA'16)	Los Angeles, CA, USA
ICMLA 2017	16th IEEE International Conference On Machine Learning And Applications	Cancun, Mexico
ICMLC - Ei 2018	2018 10th International Conference on Machine Learning and Computing (ICMLC 2018)--ACM, Ei Compendex and Scopus	Macau, China
ICMLT--Ei and Scopus 2018	2018 International Conference on Machine Learning Technologies (ICMLT 2018)--Ei Compendex and Scopus	Jinan, China
ICMME - Ei 2017	2017 The 4th International Conference on Mechatronics and Mechanical Engineering (ICMME 2017)--Ei Compendex and Scopus	Kuala Lumpur, Malaysia
ICMM--Ei & Scopus 2018	2018 9th International Conference on Mechatronics and Manufacturing (ICMM 2018)--Ei Compendex and Scopus	Phuket Island, Thailand
ICMMM - EI 2017	2017 4th International Conference on Mechanical, Materials and Manufacturing (ICMMM 2017)--Ei Compendex, CPCI and Scopus	Atlanta, GA, USA
ICMR 2017	ACM International Conference on Multimedia Retrieval	Bucharest, Romania
ICMRA--Ei & Scopus 2018	2018 International Conference on Mechatronics,Robotics and Automation (ICMRA 2018)--Ei & Scopus	Hefei, China
ICMRE - Ei & Scopus 2018	2018 4th International Conference on Mechatronics and Robotics Engineering (ICMRE 2018)--Ei Compendex & Scopus	Valenciennes, France
ICMSCE--Ei, Scopus 2018	2018 2nd International Conference on Mechatronics Systems and Control Engineering (ICMSCE 2018)--ACM, Ei Compendex, Scopus	Amsterdam, Netherland
ICMSC - Ei 2018	IEEE-ICMSC 2018-International Conference on Mechanical, System and Control Engineering--Ei Compendex & Scopus	Moscow, Russia
ICMV 2017	2017 The 10th International Conference on Machine Vision (ICMV 2017) - SPIE	Vienna, Austria
ICMVA--EI Compendex, Scopus 2018	2018 The International Conference on Machine Vision and Applications (ICMVA 2018)--EI Compendex, Scopus	Singapore
ICOAI 2017	2017 4th International Conference on Artificial Intelligence (ICOAI 2017)	Florence, Italy
ICOAR--Scopus 2018	2018 2nd International Conference on Automation and Robotics (ICOAR 2018)--Scopus	Maldives
ICOAS - EI 2017	2017 2nd International Conference on Automation Sciences (ICOAS 2017)--EI Compendex, Scopus	Phnom Penh, Cambodia
ICOCB - EI 2017	2017 International Conference on Computational Biology (ICOCB 2017)-EI Compendex, Scopus, and ISI CPCS	Yogyakarta, Indonesia
ICOK 2017	2017 2nd International Conference on Knowledge (ICOK 2017)	Chengdu, China
ICON 2017	14th International Conference on Natural Language Processing	Jadavpur University, Kolkata, India
ICONIP 2017	International Conference on Neural Information Processing	Guangzhou, China
ICOSE 2017	2017 International Conference on Software Engineering (ICOSE 2017) -- EI &Scopus	Beijing, China
ICPET 2017	International Conference on Promising Electronic Technologies 2017	Deir El-Balah, Palestine
ICPR 2018	24th International Conference on Pattern Recognition	Beijing, China
ICPRAI 2018	International Conference on Pattern Recognition and Artificial Intelligence	Montreal, Quebec, Canada
ICPRAM 2017	International Conference on Pattern Recognition Applications and Methods	Porto, Portugal
ICPRAM 2018	7th International Conference on Pattern Recognition Applications and Methods	Funchal, Madeira, Portugal
ICRACA 2017	International Conference On Recent Advances in Computing and Applications	Pune, India
ICRAE 2017	IEEE--2017 2nd International Conference on Robotics and Automation Engineering (ICRAE 2017) - IEEE Xplore and Ei Compendex	Shanghai, China
ICRAE - IEEE 2017	IEEE--2017 2nd International Conference on Robotics and Automation Engineering (ICRAE 2017) - IEEE Xplore and Ei Compendex	Shanghai, China
ICRAI 2017	2017 International Conference on Robotics and Artificial Intelligence-ACM	Shanghai, China
ICRAS 2017	2017 International Conference on Robotics and Automation Sciences (ICRAS 2017)--IEEE, Ei Compendex and Scopus	Hong Kong
ICRCA - Ei 2017	2017 The 2nd International Conference on Robotics, Control and Automation (ICRCA 2017)--Ei Compendex and Scopus	Kitakyushu, Japan
ICRIC--Ei Compendex and Scopus 2018	The 2018 International Conference on Robotics and Intelligent Control (ICRIC 2018)--Ei Compendex and Scopus	Nagoya, Japan
ICRMV - Ei 2017	2017 The 2nd International Conference on Robotics and Machine Vision (ICRMV 2017)--Ei Compendex and Scopus	Kitakyushu, Japan
ICROM-Ei 2017	Ei--2017 the International Conference on Robotics and Electromechanical (ICRoM 2017)--Scopus	Hong Kong
ICSC 2018	12th IEEE International Conference on Semantic Computing (ICSC 2018)	Laguna Hills, CA, USA
ICSCE 2017	International Conference on Soft Computing in Engineering	Jaipur, India
ICSN 2017	iCatse Conference on Software Networking	Kuala Lumpur, Malaysia
ICSPS - Ei 2017	2017 9th International Conference on Signal Processing Systems (ICSPS 2017)--Ei Compendex and Scopus	AUT University, Auckland, New Zealand
ICSR 2017	The 9th International Conference on Social Robotics	Tsukuba, Japan
ICSRT 2018--ACM, Ei Compendex 2018	2018 International Conference on Service Robotics Technologies (ICSRT 2018)--ACM, Ei Compendex	Chengdu, China
ICSRT--ACM, Ei 2018	2018 International Conference on Service Robotics Technologies (ICSRT 2018)--ACM, Ei Compendex	Chengdu, China
ICSS 2017	3rd International Conference on Software Security	Sydney, Australia
ICT & KE 2017	The 15th International Conference on ICT and Knowledge Engineering	Bangkok, Thailand
ICTCC 2017	3rd International Conference on NaTure of Computation and Communication	Tam Ky City, Vietnam
ICTTE 2017	6th International Conference on Transportation and Traffic Engineering -Ei,ISI and Scopus	Hong Kong
ICUASA 2018	2018 International Conference on Umanned Aerial Systems and Aerospace(ICUASA 2018)	Shanghai
ICVIP - Ei 2017	2017 International Conference on Video and Image Processing (ICVIP 2017)--Ei and Scopus	Singapore
ICVR-Ei 2018	2018 4th International Conference on Virtual Reality (ICVR 2018)--Ei Compendex and Scopus	Hong Kong
ICWS 2013	IEEE 20th International Conference on Web Services	Santa Clara, CA, USA
IDA 2016	The 15th International Symposium on Intelligent Data Analysis	Stockholm
IDA 2017	The Sixteenth International Symposium on Intelligent Data Analysis	London, UK
IDAM 2014	The 4th Intelligent Data Analysis and Management	Kaohsiung, Taiwan
IDAP 2017	International Artificial Intelligence and Data Processing Symposium	Malatya, Turkey
IDAR 2011	SIGMOD/PODS PhD Workshop on Innovative Database Research	Athens, Greece
IDEA 2016	KDD 2016 Workshop on Interactive Data Exploration and Analytics (IDEA)	San Francisco, CA, USA
IDEA 2017	KDD 2016 Workshop on Interactive Data Exploration and Analytics (KDD-IDEA)	Halifax, Nova Scotia, Canada
IDEAL 2016	17th International Conference on Intelligent Data Engineering and Automated Learning	Yangzhou, China
IDEAL 2017	18th International Conference on Intelligent Data Engineering and Automated Learning	Guilin, China
IDEAS '11D 2011	15th International Database Engineering & Applications Symposium	Lisbon, Portugal
IDEAS 2011	IDEAS'11: 15th International Database Engineering & Applications Symposium	Lisbon, Portugal
IDEAS 2012	16th International Database Engineering & Applications Symposium	Prague, Czech Republic
IDEAS 2013	17th International Database Engineering & Applications Symposium	Barcelona, Spain
IDEAS 2017	21st International Database Engineering & Applications Symposium	Brescia, Italy
iDSC 2017	1st International Data Science Conference	Salzburg, Austria
IE 2017	13th International Conference on Intelligent Environments (IE’17)	Seoul, South Korea
IEA/AIE NAAD 2017	Special Track on Novel Approaches to Anomaly Detection	Arras, France
IEEE Bigcomp 2018	2018 IEEE International Conference on Big Data and Smart Computing	Shanghai, China
IEEE Big Data 2017	2017 IEEE International Conference on Big Data	Boston, MA, USA
IEEE BigDataService 2018	The Fourth IEEE INTERNATIONAL CONFERENCE ON BIG DATA COMPUTING SERVICE AND APPLICATIONS	Bamberg, Germany
IEEE CIM SI 2018	IEEE Computational Intelligence Magazine. Special Issue on Computational Intelligence in Finance and Economics	N/A
IEEE CISDA 2017	2017 IEEE Symposium on Computational Intelligence for Security and Defense Applications	Honolulu, HI, USA
IEEE DSAA'2016	IEEE DSAA'2016: IEEE International Conference on Data Science and Advanced Analytics	Montreal, Canada
IEEE FRUCT 2017	21st Conference of Open Innovations Association FRUCT	Helsinki, Finland
IEEE FRUCT 2018	22nd Conference of Open Innovations Association FRUCT	Petrozavodsk, Russia
IEEE HPSC 2016	The 3rd IEEE International Conference on High Performance and Smart Computing	Shenzhen, China
IEEE--ICAVE 2017	2017 International Conference on Automotive and Vehicle Engineering (ICAVE 2017)-IEEE Xplore and Ei Compendex	Singapore
IEEE - ICBDA 2018	2018 IEEE 3rd International Conference on Big Data Analysis (ICBDA 2018)--IEEE Xplore and Ei Compendex	Shanghai, China
IEEE-ICCAR 2017	2017 3rd IEEE International Conference on Control, Automation and Robotics (ICCAR 2017) - IEEE Xplore and Ei Compendex	Nagoya, Japan
IEEE-ICCAR-Ei & SCOPUS 2018	(IEEE-ICCAR 2018) 2018 The 4th International Conference on Control, Automation and Robotics--Ei Compendex & SCOPUS	Auckland, New Zealand
IEEE--ICCCBDA--Ei and Scopus 2018	2018 the 3rd IEEE International Conference on Cloud Computing and Big Data Analysis (ICCCBDA 2018)--Ei Compendex and Scopus	Chengdu, China
IEEE--ICCSSE--Ei & Scopus 2018	2018 The 4th International Conference on Control Science and Systems Engineering (ICCSSE 2018)--IEEE, Ei & Scopus	Wuhan, China
IEEE--ICICT--Ei, Scopus 2018	2018 International Conference on Information and Computer Technologies (ICICT 2018)--Ei & Scopus	DeKalb,IL,USA
IEEE-ICIM 2017	2017 3rd IEEE International Conference on Information Management (ICIM 2017)--Ei Compendex	Chengdu, China
IEEE - ICKEA 2017	IEEE--2017 2nd International Conference on Knowledge Engineering and Applications (ICKEA 2017)--Ei Compendex and Scopus	London, UK
IEEE-ICMSC 2017	IEEE--2017 International Conference on Mechanical, System and Control Engineering (ICMSC 2017)-Ei, Scopus	St. Petersburg, Russia
IEEE-ICRAS 2017	2017 International Conference on Robotics and Automation Sciences (ICRAS 2017)--IEEE, Ei Compendex and Scopus	Hong Kong
IEEE--ICSGSC 2017	2017 IEEE International Conference on Smart Grid and Smart Cities (ICSGSC 2017)--IEEE Xplore and Ei Compendex	Singapore
IEEE icSoftComp 2017	2017 International Conference on Soft Computing and its Engineering Applications	Changa, Anand, India
IEEE ICTS4eHealth 2017	IEEE Workshop on ICT Solutions for eHealth	Heraklion, Crete, Greece
IEEE--ISCBI 2017	ISCBI 2017 (5th International Symposium on Computational and Business Intelligence)-IEEE Xplore and Ei Compendex	Dubai, UAE
IEEE - ISCMI 2017	2017 4th Intl. Conference on Soft Computing & Machine Intelligence (ISCMI 2017)--IEEE Xplore, Ei Compendex	Republic of Mauritius
IEEE ISI 2017	The 2017 IEEE International Conference on Intelligence and Security Informatics (ISI)	Beijing, China
IEEE ITNEC 2017	2017 IEEE 2nd Information Technology,Networking,Electronic and Automation Control Conference	Chengdu, China
IEEE ITOEC 2017	2017 IEEE 3rd Information Technology and Mechatronics Engineering Conference	Chongqing
IEEE-SITIS2017: MIRA 2017	Multimedia Information Retrieval and Applications	Jaipur, India
IEEE SSCI 2017	2017 IEEE Symposium Series on Computational Intelligence	Honolulu, HI, USA
IEEE TDSC Journal SI 2016	IEEE TDSC Special Issue on Data-Driven Dependability and Security	N/A
IEEE TETCI 2018	IEEE Transactions on Emerging Topics in Computational Intelligence Special Issue on Computational Intelligence in Data-Driven Optimization	N/A
IEEE TETC SI 2017	IEEE Transactions on Emerging Topics in Computing, Special Issue on Scholarly Big Data	N/A
IEMIS 2018	1ST INTERNATIONAL CONFERENCE ON EMERGING TECHNOLOGIES IN DATA MINING AND INFORMATION SECURITY	Kolkata, India
IES 2017	The 21st Asia Pacific Symposium on Intelligent and Evolutionary Systems (IES 2017)	Hanoi, Vietnam
IET ITS SI 2017	IET Intelligent Transport Systems, Special Issue on Big Traffic Data Analysis and Mining	N/A
IFAC INCOM SIMCA 2018	IFAC INCOM 2018 SIMCA Special Session	Bergamo, Italy
IFAC World Congress SIMCA 2017	IFAC WORLD CONGRESS '2017 OPEN INVITED TRACK on SYSTEM IDENTIFICATION for MANUFACTURING CONTROL APPLICATIONS	Toulouse, France
IFLDS 2016	Special Issue on Information Fusion in Learning from Data Streams	N/A
IIP 2016	9th International Conference on Intelligent Infoemation Processing	Melbourne, Australia
IJAIA 2017	International Journal of Artificial Intelligence & Applications	N/A
IJASUC 2017	International Journal of Ad hoc, Sensor & Ubiquitous Computing	N/A
IJBES 2017	International Journal of Biomedical Engineering and Science	N/A
IJBISS 2017	International Journal of Business Information Systems Strategies	N/A
IJCAI 2017	International Joint Conference on Artificial Intelligence	Melbourne, Australia
IJCAI 2018	International Joint Conferences on Artificial Intelligence Organization	Stockholm, Sweden
IJCAI - CAI4HCD 2017	IJCAI 2017 WORKSHOP ON: COGNITION AND ARTIFICIAL INTELLIGENCE FOR HUMAN-CENTRED DESIGN	Melbourne, Australia
IJCAx 2017	International Journal of Computer-Aided technologies	N/A
IJCI 2017	International Journal on Cybernetics & Informatics	N/A
IJCNN 2017	International Joint Conference on Neural Networks	Anchorage, AK, USA
IJCNN SS on Audio Applications 2017	IJCNN 2017 Special Session on Computational Intelligence Algorithms for Digital Audio Applications	Anchorage, AK, USA
IJCRS 2016	International Joint Conference on Rough Sets	Santiago, Chile
IJCRS 2017	International Joint Conference on Rough Sets	Olsztyn, Poland
IJCSA 2017	International Journal on Computational Science & Applications	N/A
IJCSEA 2017	International Journal of Computer Science, Engineering and Applications (IJCSEA)	N/A
IJCSIT 2017	International Journal of Computer Science and Information Technology -- UGC, INSPEC Indexed	N/A
IJCSITY 2017	International Journal of Computational Science and Information Technology	N/A
IJDKP 2017	International Journal of Data Mining & Knowledge Management Process	N/A
IJDMS 2017	International Journal of Database Management Systems	N/A
IJFLS 2017	International Journal of Fuzzy Logic Systems	N/A
IJGTT 2017	International Journal of Game Theory and Technology	N/A
IJHAS 2017	International Journal of Humanities, Art and Social Studies	N/A
IJISP-SI 2017	Special Issue in IJISP: Machine learning techniques for Information Security and Data Privacy	Changa, Anand, India
IJKDB Special issue 2017	International Journal of Knowledge Discovery in Bioinformatics - Special Issue	N/A
IJMA 2017	International Journal of Multimedia & Its Applications -- ERA Indexed	N/A
IJMLC ASC SI 2017	Special issues on Affective and Sentimental Computing in International Journal of Machine Learning and Cybernetics (Deadline Extended to April 1st, 2017)	N/A
IJSE-SI-EMOM 2017	Special Issue on: Advances in Emotion mining and Opinion mining(IJSE)	N/A
ILP 2017	Inductive Logic Programming conference	Orléans - France
IM4BigData 2016	Special Issue on Computational Intelligence, Neural, and Nature-inspired Methods for Big Data Processing	N/A
IMDM 2013	First Workshop on In-Memory Data Management - Applications and Architectures	Koblenz, Germany
IMMM 2017	The Seventh International Conference on Advances in Information Mining and Management	Venice, Italy
INCISCOS 2016	International Conference on Information Systems and Computer Science	Quito, Ecuador
INCISCOS 2017	2nd International Conference on Information Systems and Computer Science	Quito, Ecuador
INDIA 2017	Knoweldge-driven Computing (KDC) Special Session at INDIA-2017 International Conference	Vietnam
Infer 2016	International Workshop on Inference and Privacy in a Hyperconnected World	Darmstadt, Germany
Infitt-TIC 2017	Infitt's 16th World Tamil Internet Conference	Toronto
INISTA 2018	IEEE International Conference on Innovations in Intelligent SysTems and Applications	Thessaloniki, Greece
INIT/AERFAISummerSchoolML 2017	INIT/AERFAI Summer School on Machine Learning	Benicàssim, Spain
INNS-BDDL 2018	The 3rd INNS Conference on Big Data and Deep Learning 2018	Bali, Indonesia
INTECH 2012	The Second International Conference on Innovative Computing Technology	Rabat
IoA 2017	The Second International Workshop on the Internet of Agents (IoA)	Sao Paulo, Brazil
IoTAAL 2017	3rd IEEE International Workshop on Internet of Things for Active and Assisted Living (IoTAAL)	Geneva, Switzerland
IP&M SI 2017	IP&M Special Issue on Processing Social Media in Real-Time	N/A
IPMU 2018	17th Information Processing and Management of Uncertainty in Knowledge-Based Systems Conference	Cádiz- Spain
IPTA 2017	International Conference on Image Processing Theory, Tools and Applications	Montreal, Canada
IREHI 2017	International Rural and Elderly Health Informatics PhD Symposium	Lomé/Togo (West-Africa)
IRJ-SI 2018	Information Retrieval Journal - Special Issue on “Social Media for Personalization and Search”	N/A
IROS 2017	IEEE/RSJ International Conference on Intelligent Robots and Systems	Vancouver, Canada
IRRATIONAL 2016	IMPERFECT DECISION MAKERS: ADMITTING REAL-WORLD RATIONALITY	Barcelona, Spain
IS 2017	International Conference “Interactive Systems: Problems of Human-Computer Interaction”	Ulyanovsk, Russia
iSAI-NLP 2017	The Joint International Symposium on Artificial Intelligence and Natural Language Processing	Hua-Hin, Prachuapkirikan,Thailand
ISAIR 2017	The 2nd International Symposium on Artificial Intelligence and Robotics 2017	Kitakyushu, Japan
ISASE-MAICS 2018	The 4th International Symposium on Affective Science and Engineering and the 29th Modern Artificial Intelligence and Cognitive Science Conference	Spokane, WA, USA
ISCBI 2016	4th International Symposium on Computational and Business Intelligence	Olten, Switzerland
ISCI 2012	2012 IEEE Symposium on Computers & Informatics	Penang, Malaysia
ISCIA 2017	International Symposium on Computational Intelligence & Applications	Melaka, Malaysia
ISCMI 2016	3rd Intl. Conference on Soft Computing & Machine Intelligence	Dubai, UAE
ISCSAI 2017	2017 International Symposium on Computer Science and Artificial Intelligence	Shenzhen
ISDM 2017	ISDM@INTELLI 2017 : Intelligent Support for Decision Making at INTELLI 2017	Nice, France
ISDSA 2016	First International Symposium on Data Science and Applications	Milan, Italy
ISICS 2018	International Symposium on Intelligent Computing Systems - ISICS 2018	Merida, Mexico
ISIS 2017	The 18th International Symposium on Advanced Intelligent Systems (ISIS2017)	Daegu, South Korea
ISMIS 2017	23rd International Symposium on Methodologies for Intelligent Systems	Warsaw, Poland
ISMIS 2017 DM Competition 2017	ISMIS 2017 Data Mining Competition	Online
ISMSI--Ei, Scopus and ISI 2018	2018 2nd International Conference on Intelligent Systems, Metaheuristics & Swarm Intelligence (ISMSI 2018)--Ei Compendex, Scopus and ISI	Phuket, Thailand
ISMSI--Ei Compendex, Scopus and ISI 2018	2018 2nd International Conference on Intelligent Systems, Metaheuristics & Swarm Intelligence (ISMSI 2018)--Ei Compendex, Scopus and ISI	Phuket, Thailand
ISMW FRUCT 2016	International FRUCT conference on Intelligence, Soсial Media and Web	St. Petersburg, Russia
ISNN 2018	15th International Symposium on Neural Networks	Minsk, Belarus
ISSEA 2017	Special Session on Intelligent Systems and Software Engineering Advances	Druskininkai, Lithuania
ISS for IISA Conference 2017	Intelligent Secured Systems track	Cyprus
ISWC 2017	16th International Semantic Web Conference	Vienna, Austria
ISWC-InUse 2013	The 12th International Semantic Web Conference - In Use Track	Sydney, Australia
ISWC poster&demo 2017	ISWC 2017 : 16th International Semantic Web Conference (poster and demo session)	Vienna
it 2017	Special issue on Human Computation of 'it - Information Technology'	N/A
ITBAM 2016	7th International Conference on Information Technology in Bio- and Medical Informatics	Porto
