AIHealth@FLAIRS 2018	FLAIRS 2018 Special Track on Artificial Intelligence in Healthcare Informatics	Melbourne, FL, USA
AIKED 2012	11th WSEAS International Conference on ARTIFICIAL INTELLIGENCE, KNOWLEDGE ENGINEERING and DATA BASES	Cambridge, UK
AIM@EPIA 2017	Artificial Intelligence in Medicine	Porto, Portugal
AIMA 2017	7th International Workshop on Artificial Intelligence in Medical Applications	Prague, Czech Republic
AIMaViG 2017	3rd International Workshop on Artificial Intelligence in Machine Vision and Graphics	Prague, Czech Republic
AIMS 2017	The 6th IEEE International Conference on AI & Mobile Services	Honolulu, HI, USA
AIMS 2018	The 7th International Conference on AI and Mobile Services	Seattle, WA, USA
AIMSA Bangalore 2017	AI, Machine Learning and Sentiment Analysis Applied to Financial Markets and Consumer Markets	Bangalore, India
AIPR 2016	Applied Imagery Pattern Recognition	Washington DC, USA
AIRIM 2017	2nd International Workshop on AI aspects of Reasoning, Information, and Memory	Prague, Czech Republic
AI Safety and Security 2017	Artificial Intelligence Safety and Security. Edited Book. Call for Book Chapters.	N/A
AISB 2017	Swarm Intelligence & Evolutionary Computation	Bath, Uk
AISI 2017	The 3rd International Conference on Advanced Intelligent Systems and Informatics	Cairo, Egypt
AISP-2017	Artificial Intelligence and Signal Processing	Shiraz
AIST 2017	The 6th International Conference on Analysis of Images, Social Networks, and Texts	Moscow, Russia
AISTATS 2017	The 20th International Conference on Artificial Intelligence and Statistics	Fort Lauderdale, Florida, USA
AISTATS 2018	The 21st International Conference on Artificial Intelligence and Statistics	Playa Blanca, Lanzarote
AITS@EPIA 2017	Artificial Intelligence in Transportation Systems	Porto
AIVR 2017	1st Workshop on Artificial Intelligence Meets Virtual and Augmented Realities (AI-VR) in conjuction with SIGGRAPH Asia	Bangkok, Thailand
AKG 2017	NTCIR-13 Actionable Knowledge Graph (AKG) Task	Tokyo
AKTS 2016	Special Session on Innovative Applications for Knowledge Transfer Support	Druskininkai, Lithuania
AKTS 2017	Special Session on Innovative Applications for Knowledge Transfer Support	Druskininkai, Lithuania
ALatIKNOW 2016	Active Learning: Applications, Foundations and Emerging Trends	Graz, Austria
Algorithmic news 2018	ALGORITHMS, AUTOMATION, AND NEWS: CAPABILITIES, CASES, AND CONSEQUENCES	Munich, Germany
ALT 2018	International Conference on Algorithmic Learning Theory	Lanzarote, Spain
AMBN 2017	Advanced Methodologies for Bayesian Networks	Kyoto
AMEC/TADA 2017	International Workshop on Agent-Mediated Electronic Commerce and Trading Agents Design and Analysis	Sao Paulo
AMLTA 2018	the 3rd International Conference on Advanced Machine Learning Technologies and Applications;	Cairo, Egypt
AMW 2012	6th ALBERTO MENDELZON INTERNATIONAL WORKSHOP ON FOUNDATIONS OF DATA MANAGEMENT	Ouro Preto, Brazil
AMW 2013	The 7th Alberto Mendelzon International Workshop on Foundations of Data Management	Puebla/Cholula, Mexico
APCCM 2013	The Ninth Asia-Pacific Conference on Conceptual Modelling	Adelaide, South Australia, Australia
APCCM 2014	Tenth Asia-Pacific Conference on Conceptual Modelling	Auckland, New Zealand
APDM 2017	IJCAI 2017 Workshop: Abuse Preventive Data Mining 2017	Melbourne, Australia
APWeb 2014	Call for Demo: The 16th Asia-Pacific Web Conference	Changsha, China
APWeb 2016	Asia-Pacific Web Conference	Suzhou
Archiving 2017	IS&T Archiving Conference 2017	Riga, Latvia
ARCS (SITIS) 2017	International Workshop on Advances in Robotics and Cognitive Systems (co-located with SITIS2017)	Jaipur, India
ARIA 2018	5th International Conference on Artificial Intelligence & Applications	Dubai, UAE
ARIN 2017	3rd International Conference on Artificial Intelligence	Dubai, UAE
ASC 2017	The International Workshop on Affective and Sentimental Computing	Jeju Island, South Korea
ASC 2018	The 2nd International Workshop on Affective and Sentimental Computing	Shanghai, China
ASIIS (ACM SAC) 2013	ACM SAC - Track on ADVANCES IN SPATIAL AND IMAGE-BASED INFORMATION SYSTEMS (ASIIS 13)	Coimbra, Portugal
ASIR 2017	7th International Workshop on Advances in Semantic Information Retrieval	Prague, Czech Republic
ASRU 2017	IEEE Automatic Speech Recognition and Understanding Workshop (ASRU)	Okinawa, Japan
ATGRC 2014	The International Workshop on Advanced Technologies for Governance, Risk and Compliance	Munich, Germany
AURO-DR 2017	Autonomous Robots special issue on Distributed Robots: From Fundamentals to Applications	N/A
AusDM 2017	15th Australasian Data Mining Conference	Melbourne, Australia
AutoML 2017	Automatic Machine Learning Workshop (ICML 2017)	Sydney, Australia
AVC 2017	Advances in Vision Computing: An International Journal	N/A
AWRL 2016	First Asian Workshop on Reinforcement Learning	Hamilton, New Zealand
BAFI 2018	Business Analytics in Finance and Industry	Santiago, Chile
Balisage 2011	Balisage: The Markup Conference	Montreal, Canada
Baltic DB&IS, DC 2016	Doctoral Consortium, 12th International Baltic Conference on Databases and Information Systems 2016	Riga, Latvia
BalticDB&IS 2012	10th International Baltic Conference on Data Bases and Information Systems	Vilnius, Lithuania
Baltic DB&IS 2014	The 11th International Baltic Conference on Databases and Iinformation Systems, DB&IS2014	Tallinn, Estonia
BASC 2017	International Workshop on Big Data Applications for Smart Cities	San Francisco, CA, USA
